,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,24.96,66,100,38.5,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,42.1,85,56,6.2,broken clouds
2,Sao Filipe,CV,14.8961,-24.4956,72.57,72,0,12.28,clear sky
3,Teya,RU,60.3778,92.6267,20.35,90,100,9.08,light snow
4,Hilo,US,19.7297,-155.09,73.8,97,32,1.01,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,78.98,69,5,7.52,clear sky
6,Bilibino,RU,68.0546,166.4372,-7.69,86,1,5.3,clear sky
7,Mataura,NZ,-46.1927,168.8643,59.49,43,10,6.64,clear sky
8,Ballina,AU,-28.8667,153.5667,77.18,80,75,14.97,broken clouds
9,Karratha,AU,-20.7377,116.8463,93.94,52,68,17.9,broken clouds
10,Georgetown,MY,5.4112,100.3354,90.9,61,20,1.01,few clouds
11,Camp Verde,US,34.5636,-111.8543,43.23,31,0,7.2,clear sky
12,Aden,YE,12.7794,45.0367,77.13,51,62,4.34,broken clouds
13,Ebeltoft,DK,56.1944,10.6821,36.1,93,40,12.66,scattered clouds
14,Divnomorskoye,RU,44.5011,38.1353,32.59,78,99,7.9,overcast clouds
15,Bilma,NE,18.6853,12.9164,53.04,27,2,5.12,clear sky
16,Albany,US,42.6001,-73.9662,14.76,85,99,3.22,overcast clouds
17,Sobolevo,RU,54.4299,31.8996,1.92,100,100,7.4,overcast clouds
18,Rawson,AR,-43.3002,-65.1023,57.54,61,56,15.03,broken clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,-21.77,91,29,13.18,scattered clouds
20,Ziro,IN,27.6333,93.8333,34.0,99,100,1.39,light snow
21,Butaritari,KI,3.0707,172.7902,82.78,78,49,18.68,light rain
22,Saint-Philippe,RE,-21.3585,55.7679,83.79,89,100,24.61,moderate rain
23,Saskatoon,CA,52.1168,-106.6345,3.18,84,90,5.01,light snow
24,Oum Hadjer,TD,13.2954,19.6966,60.42,23,3,12.88,clear sky
25,The Valley,AI,18.217,-63.0578,75.09,75,100,15.84,overcast clouds
26,Luderitz,NA,-26.6481,15.1594,67.64,75,94,3.38,overcast clouds
27,Kaitangata,NZ,-46.2817,169.8464,55.98,58,16,7.4,few clouds
28,Bambanglipuro,ID,-7.95,110.2833,85.66,67,58,12.39,broken clouds
29,Aripuana,BR,-9.1667,-60.6333,72.09,99,100,2.24,light rain
30,Hermanus,ZA,-34.4187,19.2345,65.8,76,0,18.48,clear sky
31,Umba,RU,66.6871,34.3429,13.28,94,100,20.87,snow
32,Arraial Do Cabo,BR,-22.9661,-42.0278,75.49,88,97,21.16,overcast clouds
33,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,82,100,8.57,overcast clouds
34,Barrow,US,71.2906,-156.7887,-11.18,70,100,6.91,overcast clouds
35,Bida,NG,9.0833,6.0167,68.95,15,0,3.65,clear sky
36,Yerbogachen,RU,61.2767,108.0108,2.12,95,98,5.82,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,69.4,84,96,11.9,light rain
38,Severo-Kurilsk,RU,50.6789,156.125,30.51,89,86,9.75,light snow
39,Punta Arenas,CL,-53.15,-70.9167,46.11,70,5,5.77,clear sky
40,Victoria,HK,22.2855,114.1577,65.17,70,66,1.01,broken clouds
41,Naze,JP,28.3667,129.4833,56.32,63,99,17.02,overcast clouds
42,Upernavik,GL,72.7868,-56.1549,-1.71,95,100,11.5,overcast clouds
43,Sanchor,IN,24.7553,71.7722,69.48,33,0,9.01,clear sky
44,Carballo,ES,43.213,-8.691,50.02,89,96,7.76,overcast clouds
45,Thompson,CA,55.7435,-97.8558,-23.64,76,0,0.0,clear sky
46,Narsaq,GL,60.9167,-46.05,0.0,49,0,16.26,clear sky
47,Busselton,AU,-33.65,115.3333,108.05,33,6,9.42,clear sky
48,Cabo San Lucas,MX,22.8909,-109.9124,62.94,70,0,1.66,clear sky
49,Nome,US,64.5011,-165.4064,0.1,66,99,7.23,overcast clouds
50,Vaini,TO,-21.2,-175.2,77.16,94,100,18.41,light rain
51,Eureka,US,40.8021,-124.1637,45.79,83,100,4.61,overcast clouds
52,Port Blair,IN,11.6667,92.75,86.04,70,40,11.5,scattered clouds
53,Bredasdorp,ZA,-34.5322,20.0403,65.28,76,34,14.36,scattered clouds
54,Kawalu,ID,-7.3817,108.2082,81.7,75,97,1.45,overcast clouds
55,Esperance,AU,-33.8667,121.9,96.64,46,3,16.28,clear sky
56,Kruisfontein,ZA,-34.0033,24.7314,65.88,79,78,3.62,broken clouds
57,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,100,1.14,overcast clouds
58,Pevek,RU,69.7008,170.3133,-26.39,99,92,6.4,overcast clouds
59,Mapiripan,CO,2.8892,-72.1256,75.97,77,73,1.97,broken clouds
60,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.74,95,77,1.5,broken clouds
61,Hohhot,CN,40.8106,111.6522,18.45,35,35,4.88,scattered clouds
62,Itanhem,BR,-17.1664,-40.33,72.72,95,100,3.04,moderate rain
63,La Tuque,CA,47.4334,-72.7824,-0.15,65,100,5.75,overcast clouds
64,Khandbari,NP,27.3747,87.2039,55.69,53,41,4.36,scattered clouds
65,Nikolskoye,RU,59.7035,30.7861,20.71,88,100,13.51,light snow
66,Malinovoye Ozero,RU,51.6753,79.7825,13.95,73,2,9.37,clear sky
67,Ahipara,NZ,-35.1667,173.1667,71.02,98,95,13.18,moderate rain
68,Husavik,IS,66.0449,-17.3389,15.71,94,98,7.85,overcast clouds
69,Kununurra,AU,-15.7667,128.7333,85.98,79,95,2.3,overcast clouds
70,Kapaa,US,22.0752,-159.319,75.11,59,47,3.56,scattered clouds
71,Faanui,PF,-16.4833,-151.75,80.64,75,75,13.56,light rain
72,Luau,AO,-10.7073,22.2247,60.89,99,100,2.89,overcast clouds
73,Bonthe,SL,7.5264,-12.505,73.08,90,21,4.05,few clouds
74,Teahupoo,PF,-17.8333,-149.2667,76.96,75,36,14.61,scattered clouds
75,Bethel,US,41.3712,-73.414,28.04,85,100,7.76,overcast clouds
76,Carnarvon,AU,-24.8667,113.6333,98.67,32,12,10.36,few clouds
77,Coihaique,CL,-45.5752,-72.0662,48.31,88,0,3.91,clear sky
78,Avarua,CK,-21.2078,-159.775,80.65,78,94,13.8,overcast clouds
79,Saint-Pierre,RE,-21.3393,55.4781,83.88,65,99,3.44,overcast clouds
80,Atuona,PF,-9.8,-139.0333,78.78,77,20,16.4,few clouds
81,Northam,GB,51.0333,-4.2167,45.61,76,14,12.17,few clouds
82,Bayan,CN,46.0833,127.4,4.59,85,96,7.25,overcast clouds
83,Airai,TL,-8.9266,125.4092,68.45,82,95,3.36,overcast clouds
84,Bluff,NZ,-46.6,168.3333,59.81,59,49,5.82,scattered clouds
85,Khatanga,RU,71.9667,102.5,-35.09,100,87,2.71,overcast clouds
86,East London,ZA,-33.0153,27.9116,69.04,88,95,11.86,light rain
